Fecha	Unidades Predichas
1/01/2018	0
2/01/2018	268
3/01/2018	276
4/01/2018	422
5/01/2018	347
6/01/2018	363
7/01/2018	406
8/01/2018	3
9/01/2018	493
10/01/2018	595
11/01/2018	598
12/01/2018	470
13/01/2018	283
14/01/2018	1
15/01/2018	718
16/01/2018	889
17/01/2018	953
18/01/2018	954
19/01/2018	955
20/01/2018	283
21/01/2018	1
22/01/2018	704
23/01/2018	927
24/01/2018	1043
25/01/2018	1101
26/01/2018	1160
27/01/2018	427
28/01/2018	1
29/01/2018	1179
30/01/2018	1494
31/01/2018	1534
1/02/2018	549
2/02/2018	430
3/02/2018	440
4/02/2018	644
5/02/2018	606
6/02/2018	493
7/02/2018	683
8/02/2018	683
9/02/2018	560
10/02/2018	664
11/02/2018	696
12/02/2018	504
13/02/2018	883
14/02/2018	949
15/02/2018	950
16/02/2018	952
17/02/2018	276
18/02/2018	1
19/02/2018	706
20/02/2018	891
21/02/2018	952
22/02/2018	953
23/02/2018	984
24/02/2018	255
25/02/2018	2
26/02/2018	717
27/02/2018	1122
28/02/2018	1280
1/03/2018	557
2/03/2018	562
3/03/2018	556
4/03/2018	588
5/03/2018	622
6/03/2018	803
7/03/2018	581
8/03/2018	517
9/03/2018	736
10/03/2018	681
11/03/2018	629
12/03/2018	777
13/03/2018	882
14/03/2018	949
15/03/2018	950
16/03/2018	951
17/03/2018	269
18/03/2018	0
19/03/2018	0
20/03/2018	890
21/03/2018	951
22/03/2018	952
23/03/2018	984
24/03/2018	246
25/03/2018	1
26/03/2018	718
27/03/2018	1123
28/03/2018	1292
29/03/2018	3
30/03/2018	5
31/03/2018	651
1/04/2018	470
2/04/2018	370
3/04/2018	707
4/04/2018	530
5/04/2018	381
6/04/2018	601
7/04/2018	582
8/04/2018	724
9/04/2018	580
10/04/2018	712
11/04/2018	656
12/04/2018	570
13/04/2018	946
14/04/2018	233
15/04/2018	1
16/04/2018	709
17/04/2018	884
18/04/2018	947
19/04/2018	948
20/04/2018	949
21/04/2018	237
22/04/2018	1
23/04/2018	710
24/04/2018	973
25/04/2018	1102
26/04/2018	1128
27/04/2018	1307
28/04/2018	569
29/04/2018	6
30/04/2018	1552
1/05/2018	2
2/05/2018	511
3/05/2018	518
4/05/2018	591
5/05/2018	591
6/05/2018	548
7/05/2018	658
8/05/2018	713
9/05/2018	599
10/05/2018	518
11/05/2018	715
12/05/2018	605
13/05/2018	2
14/05/2018	0
15/05/2018	883
16/05/2018	945
17/05/2018	948
18/05/2018	949
19/05/2018	233
20/05/2018	0
21/05/2018	707
22/05/2018	894
23/05/2018	978
24/05/2018	1044
25/05/2018	1135
26/05/2018	164
27/05/2018	1
28/05/2018	968
29/05/2018	1413
30/05/2018	1794
31/05/2018	1774
1/06/2018	598
2/06/2018	526
3/06/2018	522
4/06/2018	1
5/06/2018	761
6/06/2018	498
7/06/2018	458
8/06/2018	678
9/06/2018	731
10/06/2018	720
11/06/2018	1
12/06/2018	729
13/06/2018	946
14/06/2018	947
15/06/2018	948
16/06/2018	233
17/06/2018	0
18/06/2018	705
19/06/2018	888
20/06/2018	949
21/06/2018	949
22/06/2018	951
23/06/2018	237
24/06/2018	0
25/06/2018	711
26/06/2018	1043
27/06/2018	1212
28/06/2018	1317
29/06/2018	1599
30/06/2018	744
