Fecha,Predicción
2012-01-01,140
2012-02-01,404
2012-03-01,557
2012-04-01,585
2012-05-01,623
2012-06-01,786
2012-07-01,542
2012-08-01,531
2012-09-01,34
2012-10-01,810
2012-11-01,796
2012-12-01,521
2012-01-13,1088
2012-01-14,323
2012-01-15,3
2012-01-16,806
2012-01-17,1020
2012-01-18,1110
2012-01-19,1109
2012-01-20,1109
2012-01-21,304
2012-01-22,3
2012-01-23,799
2012-01-24,1024
2012-01-25,1117
2012-01-26,1156
2012-01-27,1229
2012-01-28,418
2012-01-29,10
2012-01-30,1029
2012-01-31,1161
2012-01-02,843
2012-02-02,858
2012-03-02,961
2012-04-02,864
2012-05-02,681
2012-06-02,551
2012-07-02,997
2012-08-02,918
2012-09-02,827
2012-10-02,893
2012-11-02,942
2012-12-02,677
2012-02-13,886
2012-02-14,1048
2012-02-15,1202
2012-02-16,1202
2012-02-17,1202
2012-02-18,300
2012-02-19,4
2012-02-20,812
2012-02-21,1048
2012-02-22,1202
2012-02-23,1202
2012-02-24,1202
2012-02-25,353
2012-02-26,14
2012-02-27,835
2012-02-28,1183
2012-02-29,1242
2012-01-03,821
2012-02-03,990
2012-03-03,547
2012-04-03,746
2012-05-03,933
2012-06-03,967
2012-07-03,885
2012-08-03,1055
2012-09-03,1004
2012-10-03,788
2012-11-03,617
2012-12-03,1035
2012-03-13,1080
2012-03-14,1226
2012-03-15,1226
2012-03-16,1226
2012-03-17,327
2012-03-18,5
2012-03-19,0
2012-03-20,1052
2012-03-21,1226
2012-03-22,1226
2012-03-23,1226
2012-03-24,324
2012-03-25,14
2012-03-26,839
2012-03-27,1134
2012-03-28,1333
2012-03-29,1369
2012-03-30,1461
2012-03-31,406
2012-01-04,3
2012-02-04,792
2012-03-04,964
2012-04-04,824
2012-05-04,2
2012-06-04,1
2012-07-04,807
2012-08-04,35
2012-09-04,893
2012-10-04,969
2012-11-04,1019
2012-12-04,968
2012-04-13,1226
2012-04-14,342
2012-04-15,5
2012-04-16,843
2012-04-17,1053
2012-04-18,1226
2012-04-19,1226
2012-04-20,1226
2012-04-21,318
2012-04-22,6
2012-04-23,836
2012-04-24,1058
2012-04-25,1234
2012-04-26,1270
2012-04-27,1318
2012-04-28,427
2012-04-29,16
2012-04-30,1084
2012-01-05,2
2012-02-05,618
2012-03-05,937
2012-04-05,957
2012-05-05,837
2012-06-05,743
2012-07-05,963
2012-08-05,975
2012-09-05,897
2012-10-05,1089
2012-11-05,1065
2012-12-05,834
2012-05-13,7
2012-05-14,921
2012-05-15,1053
2012-05-16,1226
2012-05-17,1226
2012-05-18,1226
2012-05-19,343
2012-05-20,7
2012-05-21,0
2012-05-22,1054
2012-05-23,1226
2012-05-24,1226
2012-05-25,1236
2012-05-26,400
2012-05-27,14
2012-05-28,926
2012-05-29,1257
2012-05-30,1348
2012-05-31,1377
2012-01-06,942
2012-02-06,812
2012-03-06,690
2012-04-06,1002
2012-05-06,894
2012-06-06,882
2012-07-06,1057
2012-08-06,1037
2012-09-06,948
2012-10-06,857
2012-11-06,2
2012-12-06,922
2012-06-13,1226
2012-06-14,1226
2012-06-15,1226
2012-06-16,351
2012-06-17,8
2012-06-18,1
2012-06-19,1052
2012-06-20,1226
2012-06-21,1226
2012-06-22,1226
2012-06-23,360
2012-06-24,10
2012-06-25,839
2012-06-26,1093
2012-06-27,1318
2012-06-28,1372
2012-06-29,1444
2012-06-30,473
2012-01-07,454
2012-02-07,1
2012-03-07,866
2012-04-07,858
2012-05-07,962
2012-06-07,976
2012-07-07,896
2012-08-07,765
2012-09-07,1056
2012-10-07,960
2012-11-07,940
2012-12-07,1043
2012-07-13,1226
2012-07-14,361
2012-07-15,5
2012-07-16,852
2012-07-17,1052
2012-07-18,1226
2012-07-19,1226
2012-07-20,6
2012-07-21,346
2012-07-22,5
2012-07-23,845
2012-07-24,1057
2012-07-25,1235
2012-07-26,1273
2012-07-27,1334
2012-07-28,448
2012-07-29,10
2012-07-30,1072
2012-07-31,1280
2012-01-08,609
2012-02-08,860
2012-03-08,906
2012-04-08,776
2012-05-08,696
2012-06-08,998
2012-07-08,61
2012-08-08,920
2012-09-08,1017
2012-10-08,1068
2012-11-08,916
2012-12-08,760
2012-08-13,934
2012-08-14,1054
2012-08-15,1226
2012-08-16,1226
2012-08-17,1226
2012-08-18,344
2012-08-19,7
2012-08-20,1
2012-08-21,1053
2012-08-22,1226
2012-08-23,1226
2012-08-24,1227
2012-08-25,387
2012-08-26,18
2012-08-27,889
2012-08-28,1218
2012-08-29,1332
2012-08-30,1370
2012-08-31,1442
2012-01-09,754
2012-02-09,798
2012-03-09,952
2012-04-09,895
2012-05-09,894
2012-06-09,1024
2012-07-09,975
2012-08-09,918
2012-09-09,770
2012-10-09,924
2012-11-09,1027
2012-12-09,839
2012-09-13,1226
2012-09-14,1226
2012-09-15,355
2012-09-16,7
2012-09-17,866
2012-09-18,1053
2012-09-19,1226
2012-09-20,1226
2012-09-21,1226
2012-09-22,347
2012-09-23,14
2012-09-24,863
